"dir","region","annotator","text","discRole","evBasis","antPres","antText","antEmbed","antMod","antNeg","antSubj","emb","embTense","embSubj","comText","comMod","comNeg","comSubj","subjPred","subjPredType","ovExp","ovExpExp","ovExpInt","target","fullText","Speaker","F0","Start","End","Duration"
"Popcast1",3,"annSP","oh","ContentSurprise","1stPerson","Present","missed the entire thing",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"oh","JC1: where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony Bennett? 
CG: Missed the entire thing. 
JC2: {LG} 
JC1: <<oh>> my gosh. 
JC2: Cause she never would have let you get that in print. 
CG: Yep! 
JC2: You kept that one only for the airwaves. 
JC1: That's true, it's l- -- it's like, it used to be things that were only online and not in print, and now there's things that are 

","JC1",137.3996504,110.65,110.8777175,227.7174554
"Popcast1",17,"annSP","yeah","Phatic",NA,"Quoted",NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: That was a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, <<yeah>> it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's 

","JC2",294.1307941,222.76,222.829,69
"Popcast1",1,"annSP","oh","ContentSurprise","1stPerson","Present","it's an ongoing bit",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"oh","JC1: the best drum. 
CG: What is that from? 
JC2: Bi- {LG} Jon is convinced— 
JC1: {LG} It's an ongoing bit. 
CG: <<oh>> {LG} 
JC2: You missed the Popcast. 
JC1: In twenty nine- 
JC2: The Billie Eilish cast. 
JC1: Wait, first of all, where have you been during twenty nineteen, when I've identified Billie Eilish as primarily in the -- in the musical tradition of Tony 

","CG",200.0982282,98.39353018,98.8507061,457.1759206
"Popcast1",15,"annSP","wow","ContentSurprise","1stPerson","Present","i only dream if i'm on weird like prescription drugs",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"wow","JC2: a place where I never remember anything that happens, so- 
JC1: Is that t- 
JC2: Yeah, I hardly ever- 
JC1: Do you not dream? 
JC2: I only dream if I'm on weird, like, prescription drugs, which I try not to be, but like- 
JC1: <<wow>> 
JC2: You know, I got my wisdom teeth out, I had some really weird dreams- 
JC1: You're talkin' 'bout best albums of twenty nineteen, the best album of twenty nineteen was talking to Joe about getting his wisdom teeth pulled. 

","JC1",NA,200.52,200.54,20
"Popcast1",14,"annSP","yeah","Phatic","1stPerson","Present","but i go to a place where i never remember anything that happens so",TRUE,"None",FALSE,FALSE,"but",NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: um. Where do we go, when we all fall asleep? 
JC2: I don't know about you guys, but I go to a place where I never remember anything that happens, so- 
JC1: Is that t- 
JC2: <<yeah>> I hardly ever- 
JC1: Do you not dream? 
JC2: I only dream if I'm on weird, like, prescription drugs, which I try not to be, but like- 
JC1: Wow. 
JC2: You know, I got my wisdom teeth out, I had some really weird dreams- 
JC1: You're talkin' 'bout best albums 

","JC2",145.4782753,194.65,194.89,240
"Popcast1",28,"annSP","wow","BehaviorSurprise","1stPerson","Present","not every description is a judgment a good critic knows that",FALSE,"Belief",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"good","PPT",NA,NA,NA,"wow","JC1: tell me about- 
JP: What do you have against verses and choruses? 
JC1: I don't have anything against it! 
CG: Yeah. 
JC1: Can't I just be descriptive? 
JP: {LG} 
CG: {LG} 
JC1: Not every description is a judgment. A good critic knows that. 
CG: <<wow>> 
JC1: J P- 
JP: I thought -- I thought a good critic knows the opposite. Oh! {NI} Anyway, I p- -- I put her on number one because everybody in the known universe is trying 

","CG",153.6443653,274.88,275.35,470
"Popcast1",25,"annSP","well","Well",NA,"Present","the sonics of the billie eilish album",FALSE,"None",FALSE,FALSE,NA,NA,NA,"there is a dental drill on","None",FALSE,FALSE,NA,NA,NA,NA,NA,"well","JC1: went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish album. 
CG: {LG} 
JC2: {LG} 
JP: {LG} 
JC2: The sonics of the Billie Eilish album. 
CG: <<well>> there is a dental drill on- 
JC2: Specifically the dental drill. 
CG: Yeah, 'Bury A Friend'. 
JC1: Mall goth back. 
JC2: {LG} 
JC1: Uh, so, J P, 'When We All Fall Asleep, Where Do We Go?', the great traditional- 
JP: {LG} 
CG: {LG} 

","CG",230.0948512,251.347,251.424,77
"Popcast1",19,"annSP","yeah",NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC2: dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: <<yeah>> 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson 

","JC2",NA,226.679,226.699,20
"Popcast1",18,"annSP","no","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: a -- that was a real -- that was a roller coaster. 
JC2: I had a lot of horrible dreams for like, ten days, probably. 
JC1: I felt really bad, cause I think I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's <<no>> big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was 

","JC2",190.3232948,222.94,223.07,130
"Popcast1",30,"annSP","yes","ContentAgreement","1stPerson","Present","you don't look for the next but that's another story",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC1: the next Taylor and it never happened, just F Y I. 
JP: And they were looking for the next Adele too. {LG} You don't look for the next, but that's another story. 
JC1: <<yes>> 

","JC1",78.71450342,300.799,301.129,330
"Popcast1",24,"annSP","yeah","ContentAgreement","OwnKnowledge","Present","what's the building that's right by bam uh one hanson place",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: Yeah, yeah, <<yeah>> 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish album. 
CG: {LG} 

","JC2",75.41906778,237.27,237.67,400
"Popcast1",26,"annSP","yeah","Phatic",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC2: not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish album. 
CG: {LG} 
JC2: {LG} 
JP: {LG} 
JC2: The sonics of the Billie Eilish album. 
CG: Well, there is a dental drill on- 
JC2: Specifically the dental drill. 
CG: <<yeah>> 'Bury A Friend'. 
JC1: Mall goth back. 
JC2: {LG} 
JC1: Uh, so, J P, 'When We All Fall Asleep, Where Do We Go?', the great traditional- 
JP: {LG} 
CG: {LG} 
JC1: The Grammy -- the Grammy for best traditional pop album, 

","CG",113.8066603,254.039,254.059,20
"Popcast1",27,"annSP","yeah","BehaviorAgreement","1stPerson","Present","can't i just be descriptive",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: J P, 'When We All Fall Asleep, Where Do We Go?', the great traditional- 
JP: {LG} 
CG: {LG} 
JC1: The Grammy -- the Grammy for best traditional pop album, tell me about- 
JP: What do you have against verses and choruses? 
JC1: I don't have anything against it! 
CG: <<yeah>> 
JC1: Can't I just be descriptive? 
JP: {LG} 
CG: {LG} 
JC1: Not every description is a judgment. A good critic knows that. 
CG: Wow. 
JC1: J P- 
JP: I thought -- I thought a good critic knows the opposite. 

","CG",88.240265,267.009,267.029,20
"Popcast1",23,"annSP","yeah","ContentAgreement","OwnKnowledge","Present","what's the building that's right by bam uh one hanson place",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: Yeah, <<yeah>> yeah. 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish album. 

","JC2",93.56980208,237.05,237.27,220
"Popcast1",22,"annSP","yeah","ContentAgreement","OwnKnowledge","Present","what's the building that's right by bam uh one hanson place",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: <<yeah>> yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 
JC2: My experience was the Billie Eilish 

","JC2",94.5239217,236.87,237.05,180
"Popcast1",8,"annSP","yes i think t  i think billy eilish is very traditional","Phatic",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC2: Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain traditional sense. 
JC2: Tony Bennett tradition. 
CG: Wow. 
JC1: <<yes>> I think t- -- I think Billy Eilish is very traditional. Anyway, we're talking about Billie Eilish because we're here to talk about the twenty nineteen albums of the year and songs of the year. Jon Parales is here, chief pop critic of the New York Times. 

","JC1",NA,142.59,142.89,300
"Popcast1",8,"annSP","yes","ContentAgreement","1stPerson","Present",NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yes","JC2: Finneas credit for Billie Eilish's songwriting? 
JC1: I'm saying that Finneas's contributions help to ground Billie Eilish in a certain traditional sense. 
JC2: Tony Bennett tradition. 
CG: Wow. 
JC1: <<yes>> I think t- -- I think Billy Eilish is very traditional. Anyway, we're talking about Billie Eilish because we're here to talk about the twenty nineteen albums of the year and songs of the year. Jon Parales is here, chief pop critic of the New York Times. 

","JC1",NA,142.59,142.89,300
"Popcast1",20,"annSP","no one","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: I- 
JC2: Body horror. 
JC1: I like, rather naively, like -- cause when I- 
JC2: You were like, 'Yeah, it's no big deal.' 
JC1: Cause I -- when I had my wisdom teeth out, you know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, <<no>> one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's right by BAM? Uh, one Hanson Place. 
JC2: Yeah, yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, 

","JC1",116.9676717,229.71,229.99,280
"Popcast1",21,"annSP","right","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"right","JC1: know, ten or twelve years ago- 
JC2: Yeah. 
JC1: I literally like -- I went, I had 'em out, no one was there to pick me up, I got in -- I went to Junior's -- this was -- this was at, um -- what's the building that's <<right>> by BAM? Uh, one Hanson Place. 
JC2: Yeah, yeah, yeah. 
JC1: Walked to Junior's, got a cheesecake, hailed a cab, went home, had a great night. And that was that! Like, that was good. 
JC2: This was not my experience. 
JC1: I'm so sorry. 

","JC1",104.2823543,235.1,235.26,160
"Popcast1",9,"annSP","no","ContentDisagreement","1stPerson","Present","i thought you were expecting jon to answer the question",TRUE,"Belief",FALSE,FALSE,"thought","Past","1st",NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","JC1: Billie Eilish: 'When We All Fall Asleep, Where Do We Go?', 'Bad Guy' from that album. Billie Eilish. J P, we'll get back to it. Caryn Ganz is here. 
CG: I thought you were expecting Jon to answer the question. 
JC1: <<no>> I dunno, do you have the answer? 
JC2: The question posed by the album title? 
CG: {LG} Yes, yeah, yeah. 
JC1: Caryn Ganz, pop music editor in the New York Times, do you have the answer to the question? 
CG: Not yet. Give -- give me however long this Popcast is. 
JC1: Three hours. 
CG: Yeah. 

","JC1",126.8197107,166.36,166.99,630
"Popcast2",4,"annSP","yeah","ContentAgreement","1stPerson","Present","really tying the decade together there",FALSE,"None",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"really tying",NA,NA,NA,NA,"yeah","JP: fear. 
JC1: {LG} 
JP: She's exploring {PS} all kinds of {PS} dark and twisted fantasies in a beautiful way. 
JC1: Oh. 
JP: Oh. 
JC1: Really tying the decade together there. 
JP: [[Mhm]] <<yeah>> 
JC1: Stitchin' it up. 
JP: But also -- and -- I just like the crazy things they do in sound- 
JC1: Yeah. 
- JP: which is to make, little creepy sounds much more important than {LG} 

","JP",NA,23.03,23.05,20
"Popcast2",10,"annSP","interesting","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"interesting","JP: people are already stealing [[from her]]. 
JC1: Yeah, but- also we know this is also in least in part borrowed from a lot of things that have been happening on SoundCloud for the past five years. {BR} so it's <<interesting>> to see Billie who is- has become effectively a centrist pop-star but using to my year many reference points that come very explicitly 

","JC1",NA,61.71,62.1,390
"Popcast2",11,"annSP","right","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"right","NA: That was “one thousand Gecs”, my number one album of the year. In my heart and in the New York Times. The look that Caryn is giving me <<right>> now. Caryn! Are you not on the Gecs train yet? 
CG: No! I’m fine with them. 
JC1: I- {LG} Yeah! 
JC2: Yeah! You either hate it or- or- 
JC1: yeah, yeah! 
- JC2: or you’re a thousand Gecs 

",NA,125.6844964,167.18,167.4,220
"Popcast2",5,"annSP","yeah","Answer","1stPerson","Present","i just like the crazy things they do in sound",FALSE,"Belief",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"crazy",NA,NA,NA,NA,"yeah","JP: twisted fantasies in a beautiful way. 
JC1: Oh. 
JP: Oh. 
JC1: Really tying the decade together there. 
JP: [[Mhm]] yeah. 
JC1: Stitchin' it up. 
JP: But also -- and -- I just like the crazy things they do in sound- 
JC1: <<yeah>> 
- JP: which is to make, little creepy sounds much more important than {LG} -- than the bass and drums. The whole sort of Alice in Wonderland inside-out 

","JC1",135.7433752,27.46,27.48,20
"Popcast2",13,"annSP","fine","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"fine","NA: number one album of the year. In my heart and in the New York Times. The look that Caryn is giving me right now. Caryn! Are you not on the Gecs train yet? 
CG: No! I’m <<fine>> with them. 
JC1: I- {LG} Yeah! 
JC2: Yeah! You either hate it or- or- 
JC1: yeah, yeah! 
- JC2: or you’re a thousand Gecs up. 
JC1: yeah- 
JC2: You gotta go to the show. 
JC1: Joe [[did we have a great time at the show?]] 
JC2: Yeah, 

","CG",136.6701441,170.66,170.9,240
"Popcast2",7,"annSP","would agre","NotParticle",NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"agree","- JP: important than {LG} -- than the bass and drums. The whole sort of Alice in Wonderland inside-out sound of it, is really fascinating to me. 
JC1: Yeah, I would <<agree>> like to me the- composition and the texture of this record feels very signature and it feels like a- {BR} thing people that people will refer to for the next five years. 
JP: Well, people are already stealing 

","JC1",131.4760163,41.95,42.52,570
"Popcast2",6,"annSP","yeah","ContentAgreement","1stPerson","Present","the whole sort of alice in wonderland insideout sound of it is really fascinating to me",FALSE,"None",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"fascinating","PPT",NA,NA,NA,"yeah","- JP: much more important than {LG} -- than the bass and drums. The whole sort of Alice in Wonderland inside-out sound of it, is really fascinating to me. 
JC1: <<yeah>> I would agree, like to me the- composition and the texture of this record feels very signature and it feels like a- {BR} thing people that people will refer to for the next five years. 

","JC1",163.8326669,41.1,41.38,280
"Popcast2",12,"annSP","no","Answer","1stPerson","Present","caryn are you not on the gecs train yet",FALSE,"None",TRUE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"no","NA: my number one album of the year. In my heart and in the New York Times. The look that Caryn is giving me right now. Caryn! Are you not on the Gecs train yet? 
CG: <<no>> I’m fine with them. 
JC1: I- {LG} Yeah! 
JC2: Yeah! You either hate it or- or- 
JC1: yeah, yeah! 
- JC2: or you’re a thousand Gecs up. 
JC1: yeah- 
JC2: You gotta go to the show. 
JC1: Joe [[did we have a great time at the 

","CG",373.1201697,170.47,170.49,20
"Popcast2",16,"annSP","yeah","ContentAgreement","1stPerson","Present","you either hate it or or",FALSE,"Circumstantial",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"yeah","NA: The look that Caryn is giving me right now. Caryn! Are you not on the Gecs train yet? 
CG: No! I’m fine with them. 
JC1: I- {LG} Yeah! 
JC2: Yeah! You either hate it or- or- 
JC1: <<yeah>> yeah! 
- JC2: or you’re a thousand Gecs up. 
JC1: yeah- 
JC2: You gotta go to the show. 
JC1: Joe [[did we have a great time at the show?]] 
JC2: Yeah, more than once. 
JC1: Everybody I know at the show had a great time. 
JC2: I think, you know when I see- 
JC1: The shows? 

","JC1",135.3895681,175.46,175.75,290
"Popcast2",2,"annSP","oh","ContentSurprise",NA,"Present","she's exploring {ps} all kinds of {ps} dark and twisted fantasies in a beautiful way",FALSE,"None",FALSE,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,"beautifu","PPT",NA,NA,NA,"oh","JP: She's exploring power, she's exploring fear. 
JC1: {LG} 
JP: She's exploring {PS} all kinds of {PS} dark and twisted fantasies in a beautiful way. 
JC1: Oh. 
JP: <<oh>> 
JC1: Really tying the decade together there. 
JP: [[Mhm]] yeah. 
JC1: Stitchin' it up. 
JP: But also -- and -- I just like the crazy things they do in sound- 
JC1: Yeah. 
- JP: which is to make, little creepy sounds 

","JP",201.926656,20.63,20.779,149
"Popcast2",3,"annSP","mhm","ContentAgreement","1stPerson","Present","really tying the decade together there",FALSE,"None",FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,"mhm","JP: fear. 
JC1: {LG} 
JP: She's exploring {PS} all kinds of {PS} dark and twisted fantasies in a beautiful way. 
JC1: Oh. 
JP: Oh. 
JC1: Really tying the decade together there. 
JP: <<mhm>> yeah. 
JC1: Stitchin' it up. 
JP: But also -- and -- I just like the crazy things they do in sound- 
JC1: Yeah. 
- JP: which is to make, little creepy sounds much more important than {LG} 

","JP",115.8094966,22.9,23.02,120
